data_type,duration_cnt,dropped_cycles,dropped_cost,totoal_cost
all 1,1000,539,13580,35506
all 1,2000,1085,27230,71052
all 1,3000,1631,40880,106601
all 1,4000,2176,54500,142126
all 1,5000,2721,68130,177670
all 1,6000,3266,81750,213201
all 1,7000,3811,95380,248745
all 1,8000,4356,109000,284276
all 1,9000,4901,122630,319820
all 1,10000,5447,136280,355387
all 1,11000,5993,149930,390948
all 1,12000,6539,163580,426506
all 1,13000,7085,177230,462052
all 1,14000,7631,190880,497601
all 1,15000,8176,204500,533126
all 1,16000,8721,218130,568670
all 1,17000,9266,231750,604201
all 1,18000,9811,245380,639745
all 1,19000,10356,259000,675276
all 1,20000,10901,272630,710820
random,1000,39,470,26320
random,2000,94,1170,52810
random,3000,142,1860,79296
random,4000,209,2700,105884
random,5000,265,3410,132375
random,6000,318,4040,158813
random,7000,368,4660,185259
random,8000,421,5330,211728
random,9000,475,6000,238194
random,10000,528,6630,264635
random,11000,580,7350,291130
random,12000,614,7750,317419
random,13000,664,8290,343791
random,14000,751,9360,370546
random,15000,808,10110,397071
random,16000,847,10590,423407
random,17000,883,11050,449732
random,18000,931,11640,476142
random,19000,975,12190,502524
random,20000,1027,12960,529063
all 0.75,1000,302,6780,30725
all 0.75,2000,609,13680,61552
all 0.75,3000,916,20600,92402
all 0.75,4000,1224,27530,123256
all 0.75,5000,1532,34460,154107
all 0.75,6000,1840,41390,184958
all 0.75,7000,2148,48320,215809
all 0.75,8000,2456,55250,246660
all 0.75,9000,2764,62180,277514
all 0.75,10000,3072,69110,308362
all 0.75,11000,3380,76040,339213
all 0.75,12000,3688,82970,370064
all 0.75,13000,3995,89870,400885
all 0.75,14000,4302,96780,431725
all 0.75,15000,4609,103680,462552
all 0.75,16000,4916,110600,493402
all 0.75,17000,5224,117530,524256
all 0.75,18000,5532,124460,555107
all 0.75,19000,5840,131390,585958
all 0.75,20000,6148,138320,616809
all 0.5,1000,0,0,26000
all 0.5,2000,0,0,52000
all 0.5,3000,0,0,78000
all 0.5,4000,0,0,104000
all 0.5,5000,0,0,130000
all 0.5,6000,0,0,156000
all 0.5,7000,0,0,182000
all 0.5,8000,0,0,208000
all 0.5,9000,0,0,234000
all 0.5,10000,0,0,260000
all 0.5,11000,0,0,286000
all 0.5,12000,0,0,312000
all 0.5,13000,0,0,338000
all 0.5,14000,0,0,364000
all 0.5,15000,0,0,390000
all 0.5,16000,0,0,416000
all 0.5,17000,0,0,442000
all 0.5,18000,0,0,468000
all 0.5,19000,0,0,494000
all 0.5,20000,0,0,520000
