data_type,duration_cnt,dropped_cycles,dropped_cost,totoal_cost
all 1,1000,538,13450,35400
all 1,2000,1084,27100,70955
all 1,3000,1630,40750,106510
all 1,4000,2176,54400,142065
all 1,5000,2722,68050,177620
all 1,6000,3267,81650,213125
all 1,7000,3812,95280,248675
all 1,8000,4357,108910,284216
all 1,9000,4902,122540,319757
all 1,10000,5447,136170,355298
all 1,11000,5992,149800,390839
all 1,12000,6538,163450,426400
all 1,13000,7084,177100,461955
all 1,14000,7630,190750,497510
all 1,15000,8176,204400,533065
all 1,16000,8722,218050,568620
all 1,17000,9267,231650,604125
all 1,18000,9812,245280,639675
all 1,19000,10357,258910,675216
all 1,20000,10902,272540,710757
random,1000,982,48670,60039
random,2000,1982,98670,121039
random,3000,2982,148670,182039
random,4000,3982,198670,243039
random,5000,4982,248670,304039
random,6000,5982,298670,365039
random,7000,6982,348670,426039
random,8000,7982,398670,487039
random,9000,8982,448670,548039
random,10000,9982,498670,609039
random,11000,10982,548670,670039
random,12000,11982,598670,731039
random,13000,12982,648670,792039
random,14000,13982,698670,853039
random,15000,14982,748670,914039
random,16000,15982,798670,975039
random,17000,16982,848670,1036039
random,18000,17982,898670,1097039
random,19000,18982,948670,1158039
random,20000,19982,998670,1219039
all 0.75,1000,180,2700,27890
all 0.75,2000,362,5430,55801
all 0.75,3000,544,8160,83712
all 0.75,4000,726,10890,111623
all 0.75,5000,908,13620,139534
all 0.75,6000,1090,16350,167445
all 0.75,7000,1272,19080,195350
all 0.75,8000,1453,21790,223232
all 0.75,9000,1634,24510,251139
all 0.75,10000,1816,27240,279056
all 0.75,11000,1998,29970,306973
all 0.75,12000,2180,32700,334890
all 0.75,13000,2362,35430,362801
all 0.75,14000,2544,38160,390712
all 0.75,15000,2726,40890,418623
all 0.75,16000,2908,43620,446534
all 0.75,17000,3090,46350,474445
all 0.75,18000,3272,49080,502350
all 0.75,19000,3453,51790,530232
all 0.75,20000,3634,54510,558139
all 0.5,1000,76,760,26520
all 0.5,2000,153,1530,53065
all 0.5,3000,230,2300,79610
all 0.5,4000,307,3070,106149
all 0.5,5000,384,3840,132688
all 0.5,6000,461,4610,159227
all 0.5,7000,538,5380,185766
all 0.5,8000,615,6150,212305
all 0.5,9000,692,6920,238844
all 0.5,10000,769,7690,265383
all 0.5,11000,846,8460,291922
all 0.5,12000,923,9230,318455
all 0.5,13000,999,9990,344975
all 0.5,14000,1076,10760,371520
all 0.5,15000,1153,11530,398065
all 0.5,16000,1230,12300,424610
all 0.5,17000,1307,13070,451149
all 0.5,18000,1384,13840,477688
all 0.5,19000,1461,14610,504227
all 0.5,20000,1538,15380,530766
